Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Ian Happ","CHC",153,657,25,89,86,13,0.121765601,0.255707762,0.198594025,0.298941798,0.242530755,0.340943683,0.44112478,0.34104491788439634,0.3470029641653745,120.6947412320549,1.2588126361370087,17.517543955832764,-5.025836944580078,3.558384217694172,"Ian Happ",17919,664023
"Zach Neto","LAA",155,602,23,70,77,30,0.064784053,0.232558139,0.193726938,0.294736842,0.24907749,0.317725752,0.442804428,0.32995627543435024,0.3190859340181287,114.88853789941251,1.7759534046053886,12.031389893557858,2.3028039932250977,3.5411718351683,"Zach Neto",31347,687263
"Manny Machado","SDP",152,643,29,77,105,11,0.069984447,0.192846034,0.197301855,0.301801801,0.274873524,0.32503888,0.472175379,0.3396645368923385,0.3401139627291462,121.67552391873824,-0.36485035717487335,16.301551947535394,-3.6292690336704254,3.528699186013804,"Manny Machado",11493,592518
"Anthony Volpe","NYY",160,689,12,90,60,28,0.06095791,0.226415094,0.120879121,0.302966101,0.2433281,0.293002915,0.364207221,0.28735230665137296,0.27838217547911703,87.27204133519592,5.0442536026239395,-4.989965630833906,15.953886985778809,3.490916491903395,"Anthony Volpe",27647,683011
"Seiya Suzuki","CHC",132,585,21,74,73,16,0.107692307,0.273504273,0.19921875,0.370149253,0.283203125,0.365811965,0.482421875,0.36487284691882704,0.3484517818063549,136.7325707850044,-0.8127775117754936,24.883397093407343,-11.004959225654602,3.4530251987974805,"Seiya Suzuki",30116,673548
"Alec Bohm","PHI",143,606,15,62,97,5,0.0660066,0.141914191,0.167870036,0.305010893,0.279783393,0.331683168,0.447653429,0.3352790382129467,0.34475500979016177,113.47498826994982,-2.6210277378559113,7.143748692756864,5.862979352474213,3.4354987388490756,"Alec Bohm",21618,664761
"Teoscar Hernández","LAD",154,652,33,84,99,12,0.081288343,0.288343558,0.229202037,0.344173441,0.271646859,0.339477726,0.500848896,0.359840165041847,0.34669400293270625,132.08620411701298,0.5999196097254753,25.616458409545356,-14.332844257354736,3.4163528083224923,"Teoscar Hernandez",13066,606192
"Isaac Paredes","- - -",153,641,19,64,80,1,0.118564742,0.163806552,0.154981549,0.259433962,0.23800738,0.346333853,0.392988929,0.327380766424588,0.30940429257674956,116.36798017405934,-0.7903815433382988,11.053570590341769,0.19765031337738037,3.3624775278247707,"Isaac Paredes",20036,670623
"Kyle Schwarber","PHI",150,692,38,110,104,5,0.15317919,0.28468208,0.237347295,0.300578034,0.247818499,0.365606936,0.485165794,0.36580757077696713,0.38023195504094986,134.02278329888222,-2.4101226404309273,25.743690112890388,-16.537389278411865,3.339911179286023,"Kyle Schwarber",16478,656941
"Salvador Perez","KCR",158,652,27,58,104,0,0.067484662,0.19785276,0.184745763,0.302272727,0.27118644,0.330261136,0.455932203,0.33502383720466283,0.3613753341173342,116.57821504541221,-5.638388641178608,6.729369162599838,3.4370458126068115,3.2818932940084187,"Salvador Perez",7304,521692
"Anthony Santander","BAL",155,665,44,91,102,2,0.087218045,0.193984962,0.270588235,0.224824355,0.235294117,0.308270676,0.505882352,0.3451743663437777,0.3271819560502553,128.2676654172403,-2.7244119718670845,18.78443823013811,-9.699225664138794,3.214730816546049,"Anthony Santander",14551,623993
"JJ Bleday","OAK",159,642,20,74,60,2,0.10436137,0.194704049,0.194055944,0.278688524,0.243006993,0.324492979,0.437062937,0.33021923363302047,0.3216156578959434,120.0438407845668,-2.59663475304842,12.127221870653235,-2.3956093788146973,3.202755840257476,"JJ Bleday",26368,668709
"Joey Ortiz","MIL",142,511,11,58,60,11,0.109589041,0.201565557,0.159090909,0.28313253,0.238636363,0.328740157,0.397727272,0.3187137223838821,0.30670558039849927,104.64613241625626,-0.153630830347538,2.6854239189410603,11.072941303253174,3.1851420065712563,"Joey Ortiz",25493,687401
"Nolan Arenado","STL",152,635,16,70,71,2,0.069291338,0.144881889,0.12283737,0.295597484,0.271626297,0.324921135,0.394463667,0.3136587862538386,0.29794544038318455,102.6110472697124,-2.0995080694556236,-0.11684122570275424,9.719988584518433,3.1841061192813926,"Nolan Arenado",9777,571448
"Brendan Donovan","STL",153,652,14,65,73,5,0.072085889,0.124233128,0.139693356,0.299798792,0.277683134,0.342024539,0.41737649,0.33223725133146975,0.3409130371843798,115.11562774919648,-1.778129830956459,10.007018910614594,-1.0515611171722412,3.175906105467001,"Brendan Donovan",24679,680977
"Daulton Varsho","TOR",136,513,18,73,58,10,0.093567251,0.26705653,0.193899782,0.262295081,0.213507625,0.29296875,0.407407407,0.304275134421608,0.2658830204272317,98.6409669653947,1.5670011267066002,0.7692765248187414,12.695324957370758,3.1466971459522766,"Daulton Varsho",19918,662139
